item_code,quantity,cost_price,description
4867,2,678.00,BLACK DIE: 1-10X0-8X2-6 WINGED ANGEL WITH HEART & CARVED ROSES
4988,2,56.00,CATS EYE MARKER: 2-0X1-0X0-4 PT BRP
5036,2,142.00,SELECT GREY DIE: 2-0X0-8X2-6 POL5 SERP TOP
5128,2,97.00,"SELECT GREY SLANT: 2-0X0-10X1-4 POL 2 SERP(FACE & TOP POL) 2"" TOP NOSE, 3"" RP BOTTOM NOSE BACKSAWN & TWO SIDES ROCK PITCH"
5161,2,10.00,BLACK COPINGS: 2-10X0-4X0-2 ENDS POL FRONT & ENDS
5386,2,127.00,"SELECT GREY SLANT: 2-0X1-0X1-6 POL2 (FACE & TOP POL), SAWN BACK, BRP, 2"" FLAT TOP, 3"" RP BOTTOM NOSE"
5591,2,28.00,EVERGREEN URN: 0-10X0-6X0-6 ALL POL RETANGLE SHAPE
5600,2,220.00,SELECT GREY DIE: 3-0X0-8X2-6 POL2 (FRONT&BACK POL) BRP SERP TOP
5874,2,62.00,SELECT GREY BASE: 2-6X1-2X0-8 STEELED TOP/ SB/ BRP
5920,2,200.00,INDIA MAHAGONY  5-2X3-3X0-1  WITH BEVEL ( AS PER TEMPLATE)
5982,2,7.50,BLACK REPLICA: DIE: 0-5X0-0.75X0-7 ALL POL SERP TOP/ BASE: 0-7X1.5X0.75 PT BRP
6000,2,117.00,BLACK BASE: 3-0X1-0X0-8 PT/ SB/ BRP
6062,2,108.00,CATS EYE BASE: 2-6X1-0X0-6 PT BRP
6531,2,28.00,BLACK MARKER: 1-4X1-5X0-4 PT/SS
6540,2,114.00,BLACK BASE: 2-6X1-2X0-8 PT/ SB/ BRP
6544,2,50.00,INDIA IMPALA BLACK VASE: 0-6 DIA.X0-11SPECIAL SHAPE
6792,2,75.00,BLACK VASE: 0-8X0-8X0-10 ALL POL SPECIAL CUT VASE
7180,2,291.00,DELUXE GREY DIE: 3-6X0-8X3-0 POL5 SERP TOP
7340,2,166.00,BLUE PEARL BASE: 2-4X1-0X0-8 PT/SAWN BACK/BRP
7424,2,220.00,DELUXE GREY DIE: 3-0X0-8X2-4 POL 5 SERP TOP
7814,2,10.00,SELECT GREY INCENCE BURNER: 0-4 X0-4X 0-5 ALL POL
8171,2,254.00,BLACK BENCH: 4-0X1-2X0-4 ALL POLISHED STRAIGHT SEAT= 1 PC / LEGS 0-4X1-0X1-2 ALL POLISHED HARP SHAPE = 2PCS
8182,2,76.00,BLACK BASE: 2-0X1-0X0-6 PT/ POLISHED BEVEL FRONT/ BRP (AS PER SKETCH/ TEMPLATE )
8634,2,156.00,BLACK DIE: 1-8X0-8X2-2 POL 2  BRP SERP TOP
8638,2,133.00,"BLACK SLANT: 2-0X0-10X1-4 POL1 SERP TOP (POL FACE/ 2"" TOP 3"" ROCK PITCH FRONT NOSE AND ENDS/ SAWN BACK"
8778,2,10.00,LIBERTY GREY INCENCE BOWL: 0-4X0-4X0-4 All Pol Rond per drawing
8795,2,18.00,SELECT GREY INCENSE CUP: 0-4 DIA 0-6 TURNED ALL POLISHED (AS PER SKETCH)
9036,2,95.00,SELECT GREY BASE: 3-6X1-0X0-8 PT/ SB/ BRP
9091,2,126.00,SELECT GREY DIE: 2-0X0-8X2-4 POL5 FLAT TOP
9163,2,12.00,SELECT GREY VASE: 0-4X0-4X0-3.5  TURNED INCENSE BOWLS ALL POLISHED (AS PER SKETCH)
9249,2,175.00,INDIA RED WINGS: 1-3X0-7X2-4 ALL POLISHED CURVED (AS PER SKETCH/ TEMPLATE)
9445,2,172.00,LIBERTY GREY DIE: 3-0X0-8X2-0 POL 5 SERP TOP
9630,2,74.50,"CHARCOAL GREY BASE: 2-0X1-0X0-6  PT, BRP"
9744,2,550.00,SELECT GREY DIE: 1-10X0-8X2-4 CARVED ANGEL OVER HEART WITH CARVED ROSES (CARVED FRONT & WING END ONLY)
9869,2,98.00,BLACK BASE: 2-4X1-2X0-6 PT BRP
9936,2,232.00,"CHARCOAL GREY BASE: 4-0X1-2X0-8 PT, BRP, 2"" POL MARGIN"
9956,2,200.00,"BLACK WING: 2-2X0-8X2-0 ALL POL W/ 1"" CHECKS AT TOP, BACK & ONE END ( AS PER SKETCH )"
10050,2,142.00,BLACK DIE: 1-8X0-6X2-2 POL5 SERP TOP
10166,2,223.50,"CHARCOAL GREY SLANT: 2-0X1-0X1-6 POL2  SERP TOP (2"" POLISHED TOP NOSE AND FACE/ 3"" ROCK PITCH FRONT NOSE AND END/ SAWN BACK"
10171,2,86.00,"INDIA MIST BASE: 2-4X1-0X0-8 PT, SAWN BACK, BRP"
10495,2,176.00,CHARCOAL GREY DIE: 1-10X0-8X2-4 POL2 BRP SERP TOP
10546,2,117.00,BLACK DIE: 1-6X0-6X2-0 POL3 BRP SERP TOP
10554,2,24.00,SELECT GREY: 0-4X1-0X1-2 ALL POL CURVED BENCH LEGS
10555,2,38.00,BLACK MARKER: 2-0X1-0X0-4 PT SAWN BACK BRP
10581,2,176.00,CHARCOAL GREY DIE: 1-10X0-8X2-4 POL 3 SERP TOP ( POLISHED FRONT BACK AND TOP/ ROCK PITCH ENDS)
10590,2,223.50,"CHARCOAL GREY SLANT: 2-0X1-0X1-6 ALL POL SERP TOP WITH 2"" TOP & 3"" BOTTOM NOSE"
10747,2,103.00,"CHARCOAL GREY BASE: 2-0X0-10X0-10 PT/ SAWN BACK/ BRP (1/4"" TOLERANCE)"
10802,2,166.00,CHARCOAL GREY DIE: 1-8X0-8X2-0 POL5 SERP TOP
10803,2,82.50,"CHARCOAL GREY BASE: 2-0X0-10X0-8 PT, SAWN BACK, BRP"
10846,2,93.00,"CHARCOAL GREY BASE: 2-4X1-0X0-8 PT, BRP"
10904,2,345.00,CHARCOAL GREY DIE: 3-0X0-8X2-8 POL 5 SERP TOP
11055,2,80.00,CHARCOAL GREY BASE: 2-0X1-0X0-8 PT/BRP
11100,2,216.00,"STRAWBERRY RED BASE: 4-0X1-0X0-8 PT BRP 2"" POL MARGIN"
11181,2,103.00,STRAWBERRY RED BASE: 2-0X1-0X0-8 PT BRP
11187,2,230.00,CHARCOAL GREY DIE: 2-6X0-8X2-2 POL2 BRP SERP TOP
11189,2,124.00,"CHARCOAL GREY BASE: 2-6X1-0X0-8 PT, 2"" POL MARGIN, BRP"
11289,2,260.00,"CHARCOAL GREY BASE: 3-6X1-0X1-0 PT/BRP/2"" POL MARGIN"
11301,2,106.50,DELUXE GREY DIE: 1-10X0-8X2-4 POL 2 SERP TOP (POL FRONT & BACK) ROCK PITCH TOP AND ENDS)
11304,2,171.00,"DELUXE GREY DIE: 2-6X0-8X2-4 POL2 (FRONT&BACK POL), BRP, SERP TOP"
11333,2,157.00,"BLUE PEARL BASE: 2-0X1-0X0-8 PT/SAWN BACK/ BRP WITH 2"" POL MRG ON 3 RP ENDS"
11613,2,280.00,BLACK DIE: 1-10X0-8X2-6 ALL POLISHED SPECIAL POINT JOB (AS PER TEMPLATE/ SKETCH)
11625,2,42.00,STRAWBERRY RED VASE: 0-4X0-4X0-9 ALL POLISHED TURNED VASE
11707,2,300.00,STRAWBERRY  RED DIE: 1-10X0-8X2-4 ALL POL SINGLE HEART
12001,2,215.00,CATS EYE DIE: 1-8X0-8X2-6 POLISHED 2 SERP TOP (POLISHED FRONT AND BACK/ ROCK PITCH TOP AND ENDS)
12038,2,440.00,STRAWBERRY RED DIE: 3-6X0-8X2-4 POL 5 SERP TOP
12083,2,480.00,INDIA IMPALA DIE: :3-6X0-8X2-4 ALL POL SERP TOP WITH CURVED/ TAPERED ENDS (AS PER SKETCH)
12238,2,120.00,CHARCOAL GREY DIE: 1-8X0-8X2-4 POL 2 SERP TOP (POLISHED FRONT AND BACK/ ROCK PITCH TOP AND ENDS)
12342,2,120.00,STRAWBERRY RED BALLS: 0-6.5 DIA X0-6.5 ALL POLISHED TURNED WITH DOWEL HOLES (AS PER DIAGRAM)
12490,2,243.00,BLACK DIE: 1-10X0-8X2-10 POL 5 SERP TOP
12558,2,71.00,"INDIA PINK MARKER FOR BRONZE PLAQUES: 2-4X1-6X0-4 PT BRP WITH FOUR 1"" dia. Thru holes as per template"
12789,2,153.00,GREY PEARL DIE: 1-10X0-8X2-4 POL5 SERP TOP
12790,2,72.00,"GREY PEARL BASE: 2-0X1-0X0-8 PT, BRP, 2"" POL MRG"
12791,2,83.00,"GREY PEARL BASE: 2-4X1-0X0-8 PT, SAWN BACK, BRP"
12949,2,56.00,PEARL BLACK MARKER: 2-0X1-0X0-4 PT/ BRP
12951,2,146.00,"PEARL BLACK SLANT: 2-0X1-0X1-4 ALL POLISHED FLAT TOP 2"" TOP 3"" BOTTOM NOSE"
13075,2,78.00,BAHAMA BLUE BASE: 2-0X1-0X0-8 PT / SB / BRP
13191,2,65.00,"SHANDONG GREY MARKER FOR BRONZE PLAQUES: 1-8X2-4X0-4 PT SS w/ six 1"" dia. Thru drill holes & 6"" dia Vasehole as per template"
13447,2,131.00,BLACK BASE: 4-0X1-2X0-4 PT BRP
13530,2,63.00,DELUXE GREY BASE: 3-0X1-0X0-8 PT SAWN BACK BRP
13663,2,135.50,DELUXE GREY DIE: 2-6X0-8X2-2 POL5 SERP TOP
13666,2,137.00,DELUXE GREY DIE: 2-0X0-8X2-4 POL 2 SERP TOP ( POLISHED FRONT AND BACK / ROCK PITCH TOP AND ENDS)
13738,2,120.00,SOUTH AFRICAN IMPALA BASE: 2-0X0-10X0-10 PT/ SB/ BRP
13749,2,74.00,RAINBOW SANDSTONE BASE: 2-0X1-0X0-8 PT/BRP
13892,2,300.00,MODEL FOR DEMONSTRATIONAL PURPOSE
13957,2,146.50,DELUXE GREY DIE: 2-6X0-6X2-2 POL5 SERP TOP
14285,2,188.00,"INDIA MAHOGANY HICKEY: 2-4X1-8X0-6/0-4 PT/ 2"" POL MRG /BRP WITH 4 DRILL HOLES ( AS PER DIAGRAM)"
14361,2,234.00,BLACK LEDGER: 3-0X2-0x0-8 PT/ BRP
14422,2,23.00,BLACK GALAXY CORNER POSTS: 0-8X0-8X0-6 ALL POL
14569,2,399.00,ROYAL PINK DIE: 3-6X0-8X2-4 POL 5 SERP TOP
14590,2,226.00,ROYAL PINK DIE: 2-6X0-8X2-2 POL5  SERP TOP
14593,2,91.00,ROYAL PINK BASE: 2-2X1-2X0-8 PT SAWN BACK BRP
14610,2,83.50,"ROYAL PINK BASE: 2-0X1-0X0-8 PT, BRP, 2"" POL MRG."
14844,2,203.00,ROYAL PINK BENCH: 4-0X1-2X0-4 ALL POLISHED STRAIGHT SEAT= 1 PC / LEGS 0-4X1-0X1-2 ALL POLISHED HARP SHAPE = 2PCS
14950,2,441.00,STRAWBERRY RED DIE: 3-0X0-8X2-6 POL 2 SERP TOP (POLISHED FRONT AND BACK / ROCK PITCH TOP AND END)
15077,2,174.00,GREY PEARL DIE: 1-8X0-8X2-6 POL 5 SERP TOP
15141,2,45.00,"BLUE MARKER: 2-0X1-2X0-4 PT, BAL SAWN"
15233,2,32.00,"BAHAMA BLUE GRANITE TOP & BOTTOM: 0-6X0-6X0-1.25 PER TEMPLATE WITH HOLES DRILLED PER TEMPLATE, ALL SURFACES ARE POLISHED"
15316,2,189.00,DELUXE GREY DIE: 2-0X0-8X3-0 POL 5 SERP TOP
15319,2,62.00,DELUXE GREY BASE: 2-0X1-0X1-0 PT BRP
1011,1,280.00,BLACK DIE: 2-2X0-8X3-0 POL2 SERP TOP (POLISHED FRONT AND BACK / ROCK PITCH TOP AND ENDS)
1068,1,300.00,BLACK DIE: 1-8X0-8X3-0 ALL POL ANTON
1073,1,285.00,BLACK DIE: 1-8X0-10X3-0 POL 5 SERP TOP
1076,1,270.00,BLACK DIE: 1-10X0-8X2-4 ALL POL HEART
1077,1,268.00,BLACK DIE: 1-10X0-8X2-4 BOOK OF LIFE (PAGES ALSO POLISHED WITH PAGE LINES)
1079,1,255.00,BLACK DIE: 1-10X0-8X2-4 ALL POL ANTON
1116,1,210.00,BLACK DIE: 2-0X0-8X2-4 POL5 SERP TOP
1117,1,224.00,BLACK DIE: 2-0X0-8X2-4 POL 5 FLAT TOP
1129,1,247.00,BLACK DIE: 2-0X0-8X2-9 POL 5 SERP TOP
1162,1,186.00,BLACK DIE: 2-4X0-8X2-0 POL 5 SERP TOP
1253,1,70.00,BLACK BASE: 2-0X1-0X0-6 ALL POL
1259,1,80.00,BLACK BASE: 2-2X1-0X0-8 PT BRP
1295,1,135.00,"BLACK BASE: 3-0X1-0X0-8 PT/2"" POL MRG (3) SIDES/ SAWN BACK / BRP"
1315,1,160.00,BLACK BASE: 3-6X1-2X0-8 PT SB BRP
1320,1,152.00,BLACK BASE: 4-0X1-0X0-6 ALL POL
1342,1,182.50,BLACK BASE: 4-0X1-2X0-8 PT BRP
1345,1,271.00,BLACK BASE: 4-0X1-2X1-0 ALL POL
1393,1,161.00,IMPERIAL PINK DIE: 1-8X0-8X2-2 POL 5 SERP TOP
1417,1,156.00,IMPERIAL PINK BASE: 3-8X1-1X0-8 PT SB BRP
1438,1,270.00,INDIA RED DIE: 1-8X0-8X3-0 POL 5 SERP TOP
1442,1,308.00,INDIA RED DIE: 1-10X0-8X2-4 ALL POL SINGLE HEART
1448,1,252.00,STRAWBERRY RED DIE 1-10X0-8X2-4 POL 5 SERP TOP
1455,1,310.00,INDIA RED DIE:  1-10X0-8X3-0 POL 5 SERP TOP
1469,1,329.00,INDIA RED DIE: 2-6X0-8X2-4 POL 5 SERP TOP
1471,1,350.00,INDIA RED DIE: 2-8X0-8X2-4 POL 5 SERP TOP
1478,1,337.00,INDIA RED DIE: 3-0X0-8X2-6 POL 5 SERP TOP
1486,1,504.00,INDIA RED DIE: 3-6X0-8X3-0 POL 5 SERP TOP
1500,1,96.00,"STRAWBERRY  RED BASE: 2-0X0-10X0-10 PT SB BRP (¼"" TOLERANCE)"
1501,1,104.00,INDIA RED BASE: 2-0X0-10X0-10 PT/ SB/  BRP
1509,1,100.00,INDIA RED BASE: 2-0X1-0X1-0 ALL POL
1510,1,132.00,INDIA RED BASE: 2-0X1-0X1-0 PT BRP
1515,1,118.00,STRAWBERRY RED BASE: 2-4X1-0X0-8 PT/SB/ BRP
1516,1,109.00,INDIA RED BASE: 2-4X1-0X0-8 PT SB BRP
1523,1,105.00,STRAWBERRY RED BASE: 2-6X1-2X0-6 PT BRP
1527,1,140.00,INDIA RED BASE: 3-0X1-0X0-8 PT BRP
1528,1,156.00,"INDIA RED BASE: 3-0X1-0X0-8 PT, BRP, 2"" POL MARGIN"
1529,1,129.00,INDIA RED BASE: 3-0X1-2X0-8 PT BRP
1534,1,142.00,INDIA RED BASE: 3-6X1-0X0-8 PT BRP
1540,1,182.00,INDIA RED BASE: 3-6X1-2X0-8 PT SB BRP
1546,1,206.00,INDIA RED BASE: 4-0X1-2X0-8 PT BRP
1556,1,187.00,BAHAMA BLUE DIE: 1-8X0-8X2-2 POL 5 SERP TOP
1561,1,211.00,BAHAMA BLUE DIE: 1-10X0-8X2-4 POL5 SERP TOP
1564,1,206.00,BAHAMA BLUE DIE: 1-10X0-8X2-6 POL 5 SERP TOP
1576,1,343.00,BLUE DIE: 3-0X0-8X2-4 POL 5 SERP TOP
1594,1,91.00,BAHAMA BLUE BASE:  2-4X1-0X0-8 PT SB BRP
1609,1,167.00,PARADISO DIE: 1-8X0-8X2-6 POL 5 SERP TOP
1634,1,53.00,PARADISO BASE: 2-0X0-10X0-8 PT SB BRP
1637,1,54.00,PARADISO BASE: 2-0X1-0X0-6 PT BRP
1643,1,74.00,PARADISO BASE: 2-4X1-0X0-8 PT SB BRP
1649,1,96.00,PARADISO BASE: 3-0X1-0X0-8 PT BRP
1650,1,115.00,PARADISO BASE: 3-0X1-2X0-8 PT BRP
1663,1,116.00,DELUXE GREY DIE: 1-10X0-8X2-6 POL 5 SERP TOP
1710,1,142.00,"BAHAMA BLUE SLANT:  2-0X0-10X1-6 POL2 SERP (POLISHED TOP AND FACE) SAWN BACK, BRP  (2"" TOP 3"" BOTTOM NOSE)"
1736,1,170.00,"INDIA RED SLANT:  2-0X0-10X1-6 POL 1 (FACE POLISHED) SERP TOP 2"" TOP & 3"" BOTTOM NOSING (ROCK PITCH TOP & BOTTOM NOSE + ENDS)"
1737,1,180.00,INDIA RED SLANT: 2-0X0-10X1-6 ALL POL SERP TOP
1749,1,170.00,INDIA MIST DIE: 1-8X0-8X2-2POL 5 SERP TOP
1750,1,204.00,INDIA IMPALA DIE: 1-8X0-8X2-6 POL 5 SERP TOP
1772,1,62.00,INDIA IMPALA BASE: 2-0X0-10X0-10 PT SB BRP
1774,1,82.00,INDIA MIST BASE: 2-0X1-0X0-8 PT BRP
1811,1,62.00,"TROPICAL GREEN BASE: 2-0X0-10X0-10 PT SB BRP (¼"" TOLERANCE)"
1847,1,100.00,PASTEL PINK DIE: 1-8X0-8X2-0 POL 5 SERP TOP
1850,1,178.50,ROYAL PINK DIE: 1-10X0-8X2-4 POL 5 SERP TOP
1855,1,248.00,INDIA PINK DIE: 2-0X0-8X2-9 BOOK OF LIFE
1860,1,78.00,PINK JUPARANA BASE: 2-0X1-0X0-8 PT BRP
1861,1,84.00,ROYAL PINK BASE: 2-4X1-0X0-8 PT SB BRP
1873,1,220.00,RED MULTI DIE: 2-0X0-8X2-9 POL 5 SERP TOP
1892,1,15.00,BLACK MARKER: 1-4X0-8X0-4 PT SS
1904,1,16.00,INDIA PINK MARKER: 2-0X1-0X0-4 PT SS
1909,1,42.00,"INDIA RED MARKER: 2-0X1-4X0-4 PT BRP (¼"" TOLERANCE)"
1918,1,84.00,BLACK GALAXY BASE: 2-0X0-10X0-8 PT SB BRP
1922,1,112.00,BLACK GALAXY BASE: 2-4X1-0X0-8 PT/SB/ BRP
1946,1,122.00,BLACK HICKEY: 2-0X1-0X1-0/0-10 ALL POL
1948,1,142.00,BLACK HICKEY: 2-0X1-0X1-0/0-10 PT BRP
1978,1,510.00,MIKE KITCHEN COUNTER
2070,1,237.00,BLACK DIE: 1-10X0-8X2-6 GR-425 ALL POL
2071,1,237.00,BLACK DIE: 1-10X0-8X2-6 GR-434 ALL POL
2123,1,73.00,"SELECT GREY BASE: 2-4X1-0X0-8 PT BRP   2"" POL MARGIN"
2196,1,126.00,"EVERGREEN BASE: 2-0X0-10X0-8 PT SB BRP (¼"" TOLERANCE)"
2217,1,188.00,"CATS EYE DIE: 1-8X0-8X2-0 POL5 SERP ¼"" TOLERANCE"
2226,1,88.00,CATS EYE BASE: 2-0X1-0X0-8 PT BRP
2235,1,94.00,IMPERIAL PINK BASE: 2-0X1-0X0-8 PT BRP
2238,1,150.00,IMPERIAL PINK BASE: 2-4X1-0X0-10 PT SB BRP
2256,1,70.00,TROPICAL GREEN BASE: 2-10X0-10X0-4 PT BRP
2293,1,107.00,"INDIA RED BASE: 3-6X0-10X0-10 PT SB BRP (¼"" TOLERANCE)"
2338,1,250.00,BLACK DIE: 2-6X0-8X2-4 POL 2 SERP TOP (POL FRONT & BACK/ BRP)
2340,1,212.00,BLACK SLANT: 3-0X0-10X1-6 POL 2 (FACE & TOP POL) SERP SB BRP
2428,1,141.00,"INDIA MIST SLANT: 2-0X0-10X1-6 POL 2 SERP TOP (2"" TOP NOSE 3"" BOTTOM NOSE)"
2439,1,255.00,BLACK DIE: 1-10X0-8X2-4 ALL POL MODEL 827 (AS PER SKETCH)
2442,1,330.00,PARADISO DIE: 2-0X0-8X2-9 ALL POL MODEL 824 (AS PER SKETCH)
2444,1,255.00,BLACK DIE: 1-10X0-8X2-4 ALL POL MODEL 824 (AS PER SKETCH)
2556,1,84.00,"IMPERIAL PINK BASE: 2-0X0-10X0-10 PT SB BRP(¼"" TOLERANCE)"
2568,1,86.00,PINK ROSE BASE: 2-4X1-0X0-8 PT  BRP
2661,1,170.00,"BLUE SLANT: 3-0X0-10X1-6 POL2 SERP TOP (TOP & FRONT) 2"" TOP  3"" BOTTOM NOSE"
2688,1,126.00,"BLACK BASE: 3-0X1-0X0-10 PT BRP 2"" POL MARGIN"
2725,1,170.00,"INDIA RED SLANT: 2-0X0-10X1-6 POL2 (FACE&TOP POL),SERP, 2""TOP &3"" BOTTOM NOSE"
2762,1,106.00,BLACK BASE: 2-0X1-0X1-0 PT /SB /BRP
2782,1,341.20,"EVERGREEN DIE: 1-8X0-8X2-8 POL5 SERP TOP (¼"" TOLERANCE)"
2784,1,156.50,"EVERGREEN BASE: 2-0X0-10X0-10 PT SB BRP (¼"" TOLERANCE)"
2813,1,247.00,BLACK DIE: 1-10X0-8X2-4 ALL POL MODEL GRU-240
2853,1,124.00,"BLACK BASE: 2-2X1-2X0-10 PT BRP 2"" POL MARGIN"
2893,1,169.00,SELECT GREY DIE: 1-8X0-8X2-0 POL5 SERP CARVED CWC 9 X 9
2896,1,212.00,SELECT GREY DIE: 1-10X0-8X2-4 POL5 SERP CARVED CWC 10 X 10
2904,1,439.00,SELECT GREY DIE: 3-6X0-8X2-6 POL5 SERP CARVED SHJ 13 X 16
2906,1,117.00,LIBERTY GREY BASE: 3-6X1-2X0-8 PT BRP
2908,1,114.00,SELECT GREY BASE: 4-0X1-2X0-8 PT BRP
2911,1,228.00,©BLACK DIE: 1-8X0-8X2-0 POL5 SERP CARVED SHM 8 X 10
2913,1,459.00,©BLACK DIE: 1-10X0-8X2-4 POL5 SERP CARVED SHJ 10 X 12
2917,1,324.00,©BLACK DIE: 1-10X0-8X2-6 POL5 SERP CARVED SHM 10 X 12
2919,1,416.00,©BLACK DIE: 2-0X0-8X2-9 POL5 SERP CARVED SHJ 12 X 14
2920,1,416.00,©BLACK DIE: 2-0X0-8X2-9 POL5 SERP CARVED SHM 12 X 14
2924,1,222.00,IMPERIAL PINK DIE: 1-8X0-8X2-0 POL5 SERP CARVED SHJ 8 X 10
2932,1,293.00,IMPERIAL PINK DIE: 1-10X0-8X2-6 POL5 SERP CARVED CWC 10 X 10
2978,1,52.00,REPLICA WORLD TRADE CENTER
3026,1,89.00,"IMPERIAL GREY BASE: 3-6X1-2X0-8 PT SB ,BRP, 2"" POL MARGIN ON 3 RP SIDES"
3027,1,44.00,INDIA IMPALA BASE: 2-0X1-0X0-6 PT SB BRP
3045,1,129.00,BLACK BASE: 2-0X1-2X1-0 PT SAWN BACK BRP
3066,1,247.00,"BLACK BASE: 5-0X1-1X0-10 PT BRP 2"" POL MARGIN"
3116,1,96.00,BLACK BASE: 3-0X1-0X0-6 PT BRP
3144,1,340.00,BLACK DIE: 1-10X0-8X2-4 ALL POL SPECIAL MODEL 1 (AS PER SKETCH)
3163,1,117.00,BLACK BASE: 4-0X1-2X0-4 ALL POL
3172,1,125.00,SELECT GREY DIE: 1-10X0-8X2-4 POL 2 SERP TOP (POL FRONT & BACK) ROCK PITCH TOP AND ENDS)
3178,1,210.00,SELECT GREY DIE: 3-0X0-8X2-4 POL 5 SERP TOP
3191,1,87.20,SELECT GREY BASE: 2-0X1-0X1-0 ALL POL
3196,1,110.00,SELECT GREY BASE: 3-6X1-2X0-8 PT BRP
3217,1,20.00,BLACK INSERT CROSS: 0-9 1/2X0-1 1/2X1-0 ALL POL (AS PER FULL SIZE)
3241,1,230.00,©BLACK DIE: 1-8X0-8X2-2 POL5 SERP CARVED CWC 9X9
3246,1,384.00,©BLACK DIE: 3-0X0-8X2-0 POL5 SERP CARVED SHJ 10X12
3248,1,400.00,©BLACK DIE: 2-8X0-8X2-2 POL5 SERP CARVED SHM 11X13
3252,1,383.00,SELECT GREY DIE: 1-10X0-8X2-6 POL5 SERP CARVED MWC 11X13
3301,1,157.00,ROSE PINK DIE: 1-10X0-8X2-4 POL 5 SERP TOP
3342,1,148.00,INDIA RED BASE:4-0X1-0X0-8 PT SB BRP
3346,1,310.00,"BLACK DIE: 3-2X0-8X2-4 POL 5 FLAT TOP ( MUST BE WITHIN 1/4"" TOLERANCE)"
3385,1,137.00,BLACK BASE: 3-8X1-2X0-6 PT BRP
3401,1,120.00,BLUE BASE: 3-0X1-0X0-10 PT BRP
3423,1,184.00,"IMPERIAL PINK SLANT: 2-0X1-0X1-2 POL2 (FACE & TOP) SERP BS BRP TOP, 2"" TOP & 3"" BOTTOM RP NOSE"
3435,1,355.00,BLUE PEARL DIE: 1-10X0-8X2-4 POL5 SERP
3437,1,138.00,"BLUE PEARL BASE: 2-0X0-10X0-8 PT SB BRP  2"" POL MARGIN ON 3 RP SIDES (¼"" TOLERANCE)"
3445,1,66.00,SELECT GREY BASE: 2-2X1-2X0-8 PT SB BRP
3463,1,220.00,SELECT GREY DIE: 1-10X0-8X2-6 ALL POL OPEN BOOK ON SERP TOP PER FAXED SKETCH
3499,1,235.00,EVERGREEN BASE: 2-0X1-0X1-0 ALL POL
3503,1,122.00,SELECT GREY DIE: 1-10X0-8X2-2 ALL POL BOOK OF LIFE W/9 PAGE LINES
3504,1,61.00,SELECT GREY BASE: 2-0X1-0X0-10 PT BRP
3595,1,458.00,EVERGREEN BASE: 3-6X1-2X1-0 PT SB BRP
3606,1,94.00,SELECT GREY BASE: 3-0X1-0X0-10 PT BRP
3623,1,14.00,SAMPLES BOOKS
3640,1,43.00,"G664 PINK MARKER FOR BRONZE PLAQUES: 2-4X1-4X0-4 PT SS W/ four 1"" dia. Thru holes as per template"
3677,1,282.00,"©BLACK DIE: 1-8X0-8X2-0 POL5 SERP CARVED BM 10X12 (¼"" TOLERANCE)"
3680,1,332.00,"©BLACK DIE: 1-8X0-8X2-8 POL5 SERP CARVED BM 10X12 (¼"" TOLERANCE)"
3681,1,307.00,"©BLACK DIE: 1-8X0-8X2-2 POL5 SERP CARVED MWC 10X12 (¼"" TOLERANCE)"
3703,1,979.00,BLACK DIE: 2-4X0-10X6-0 ALL POL CROSS (AS PER SKETCH AND CD)
3772,1,188.00,"BLACK BASE: 4-0X1-0X0-8 PT SB BRP 2"" POL MARGIN (3) SIDES"
3786,1,265.00,BLACK DIE: 1-10X0-8X2-6 ALL POL OPENBOOK TOP WITH PAGE LINES ( AS PER TEMPLATE)
3799,1,163.00,SELECT GREY DIE: 2-0X0-8X2-9 ALL POL OPENBOOK TOP
3814,1,138.00,IMPERIAL BROWN BASE: 3-6X1-2X0-8 PT SB BRP
3833,1,126.00,INDIA RED BASE: 3-0X1-0X0-10 PT BRP
3835,1,924.00,"INDIA BLACK DIE: 4-0X0-10X3-6 ALL POL ""ZEMEL"" AS PER FAXED SKETCH"
3842,1,1025.00,BLACK DIE: 3-6X0-8X2-4 MWC FULL STATUE 10X26 (YOUR DESIGN) ALL POL EXCEPT SCULPTURE
3863,1,25.00,SELECT GREY VASE:0-6X0-10 All Pol Turned w. cored holes & side drains
3898,1,434.00,BLACK DIE: 2-6X0-8X2-4 POL5 SERP TOP CARVED PIETA 11X13
3942,1,85.00,"SELECT GREY BASE: 3-0X1-0X0-8 PT BRP 2"" POL MARGIN"
3964,1,267.00,"BLACK DIE: 3-0X0-8X2-2 POL 2 (FRONT & BACK POL) BRP, SERP TOP"
3965,1,222.00,BLACK DIE: 2-6X0-8X2-2 POL 2  BRP SERP TOP
3985,1,330.00,INDIA RED DIE: 1-10X0-8X2-6 ALL POL SINGLE HEART
3986,1,434.00,BLUE PEARL DIE: 1-10X0-8X2-6 POL5 SERP
4004,1,83.00,COFFEE BROWN BASE: 2-4X1-0X0-8 PT SB BRP
4161,1,520.00,BLACK DIE: 3-6X0-8X2-4 ALL POL W/ RAISED STAR (AS PER SKETCH)
4183,1,219.00,INDIA IMPALA DIE: 2-0X0-8X2-4 POL 5 SERP TOP
4197,1,100.00,BLACK HICKEY: 2-0X1-0X0-10/0-8 PT BRP
4204,1,513.00,INDIA IMPALA DIE: 4-8X0-10X3-0 ALL POL FLAT STRAIGHT TOP/(NO WAVES)
