item_code,quantity,cost_price,description
1057,6,210.00,"BLACK DIE: 1-8X0-8X2-8 POL 5 SERP TOP (¼"" TOLERANCE)"
2905,6,41.00,SELECT GREY BASE: 2-0X1-0X0-6 PT BRP
9468,6,91.00,"SELECT GREY SLANT: 2-0X0-10X1-4 POL3 (TOP,FACE,BACK POL) SERP TOP, 2"" TOP NOSE, ROCK PITCH ENDS & 3"" BOTTOM NOSE RP"
9631,6,40.00,"CHARCOAL GREY GRASS MARKER: 2-0X1-0X0-4 POL TOP, BALANCE SAWN"
11298,6,26.00,"DELUXE GREY MARKER: 2-0X1-0X0-4 POL TOP, BALANCE SAWN"
11309,6,123.00,DELUXE GREY DIE: 1-8X0-8X2-4 POL 5 SERP TOP
13630,6,72.00,DELUXE GREY BEVEL MARKER (HICKEY): 2-4X1-4X0-4/0-6  PT BRP WITH 4 DRILL- HOLES PER TEMPLATE
13662,6,122.00,DELUXE GREY DIE: 1-8X0-8X2-4 POL2 BRP SERP TOP
15056,6,49.00,"LIGHT GREY MARKER  FOR BRONZE PLAQUES: 2-4X1-8X0-4 PT SS W/ FOUR 1"" dia. thru holes and one 6"" vasehole as per template"
1054,5,183.00,BLACK DIE: 1-8X0-8X2-4 POL 5 SERP TOP
1064,5,235.00,BLACK DIE: 1-8X0-8X3-0 POL 5 SERP TOP
5005,5,48.00,"G664 PINK MARKER FOR BRONZE PLAQUES: 2-4X1-6X0-4 PT SS W/ 6"" VASE HOLE & FOUR 1""  dia Thru holes"
5092,5,44.00,AURORA MARKER: 2-0X1-0X0-4 PT SS
10172,5,200.00,INDIA MIST DIE: 1-10X0-8X2-4 POL 5 SERP TOP
11475,5,28.00,RED-MULTI GRASS MARKER: 2-0X1-0X0-4 PT SS
11582,5,196.00,"STRAWBERRY RED DIE: 1-8X0-8X2-0 POL 5 SERP TOP (¼"" TOLERANCE)"
11984,5,33.20,DELUXE GREY BASE: 2-0X1-0X0-6 PT/ BRP
12702,5,80.00,STRAWBERRY RED BASE: 2-0X1-0X0-6 PT BRP
12833,5,76.00,"CHINA BARRY HICKEY: 2-0X1-0X1-0/ 0-10 SAWN TOP/ SAWN 1 4/3"" MARGIN/ ROCK PITCH BACK / BRP ( AS PER SKETCH)"
13123,5,48.00,"LIGHT GREY MARKER  FOR BRONZE PLAQUES: 2-4X1-4X0-4 PT SIDES SAWN W/ FOUR 1"" dia. Thru holes as per template"
13655,5,45.00,DELUXE GREY HICKEY 2-0X1-0X0-6/0-4 PT BRP
14064,5,57.00,BLACK MARKER: 3-0X1-0X0-4 PT/SS
14510,5,43.00,"REGAL PINK MARKER FOR BRONZE PLAQUES: 2-4X1-8X0-4 PT SS W/ four 1"" dia. Thru holes as per template"
15331,5,9.25,"DELUXE GREY MARKER: 1-4X0-8X0-4 PT, BALANCE SAWN"
1015,4,78.00,BLACK BASE: 2-0X1-0X0-8 PT BRP
1087,4,187.00,BLACK DIE: 1-10X0-8X2-6 POL2 SERP TOP
1088,4,298.00,BLACK DIE: 1-10X0-8X2-6 ALL POL STACKED HEART
1323,4,148.00,BLACK BASE: 4-0X1-0X0-8 PT BRP
1324,4,180.00,"BLACK BASE: 4-0X1-0X0-8 PT BRP  2"" POL MARGIN"
1499,4,61.00,"INDIA RED BASE: 2-0X0-10X0-8 PT SB BRP (¼"" TOLERANCE)"
1695,4,189.00,"BLACK SLANT: 2-0X1-0X1-6 POL2 FLAT TOP (POLISHED 2"" TOP NOSE AND FACE/ 3"" ROCK PITCH FRONT NOSE AND ENDS/ SAWN BACK)"
1696,4,174.00,"BLACK SLANT: 2-0X1-0X1-6 ALL POL SERP TOP (2"" TOP 3""BOTTOM NOSE)"
1896,4,40.00,BLACK MARKER: 2-0X1-2X0-4 PT SS
1900,4,38.00,BLUE MARKER: 2-0X1-0X0-4 PT SS
2206,4,65.00,EVERGREEN MARKER: 2-0X1-0X0-4 PT SS
2378,4,51.00,IMPERIAL PINK MARKER: 2-0X1-0X0-4 PT SS
3081,4,63.50,DELUXE GREY BASE: 2-4X1-0X0-8 PT BRP
3177,4,187.00,SELECT GREY DIE: 2-8X0-8X2-4 POL 5 SERP TOP
3265,4,260.00,"STRAWBERRY RED DIE: 1-8X0-8X2-8 POL5 SERP TOP (¼"" TOLERANCE)"
3285,4,39.00,DELUXE GREY BASE: 2-0X1-0X0-6 PT SB BRP
3441,4,128.00,SELECT GREY DIE: 1-10X0-8X2-6 POL2 BRP SERP TOP
3457,4,221.00,SELECT GREY DIE: 3-0X0-8X2-6 POL5 SERP TOP
4104,4,72.50,DELUXE GREY BASE: 2-6X1-0X0-8 PT/ BRP
4638,4,324.00,STRAWBERRY RED DIE: 3-0X0-8X2-0 POL 5 SERP TOP
5681,4,30.00,IMPERIAL PINK VASE: 0-4X0-10 ALL POLISHED TURNED (STANDARD)
6571,4,41.00,INDIA RED MARKER: 2-0X1-0X0-4 PT BRP
7423,4,173.00,DELUXE GREY DIE: 2-0X0-8X2-9 POL5  SERP TOP
8396,4,86.00,GREY BASE: 2-4X1-2X0-8 ALL POLISHED
8411,4,7.00,"BLACK MINI MONUMENTS: DIE: 0-5""X0-3/4""X0-7"" ALL POL SERP / BASE: 0-7""X0-1 1/2"" X0-3/4"" PT/BRP"
8489,4,125.00,SELECT GREY BENCH: SEAT 4-0X1-2X0-4 POL 5  STRAIGHT TOP WITH DOWEL HOLES  W/ 1-0X0-4X1-2 ALL POLISHED HARP SHAPE LEGS (AS PER TEMPLATE)
9447,4,132.00,DELUXE GREY DIE: 1-8X0-8X2-6 POL 5 SERP TOP
9938,4,75.00,BLACK MARKER: 2-4X1-6X0-4 PT/ SS  WITH 4 DRILL HOLES (AS PER TEMPLATE)
11119,4,154.00,STRAWBERRY RED BASE: 3-6X1-0X0-8 PT/ BRP
11583,4,84.00,"STRAWBERRY RED BASE: 2-0X0-10X0-8 PT SB BRP (¼"" TOLERANCE)"
12617,4,189.00,CHARCOAL GREY DIE: 1-10X0-8X2-6 POL 2 SERP TOP (POLISHED FRONT AND BACK / ROCK PITCH TO AND ENDS)
13286,4,56.25,"CAPPUCCINO GRASS MARKER: 2-0X1-0X0-4 PT, BAL SAWN"
15102,4,190.00,ROYAL PINK DIE: 1-10X0-8X2-6 POL 5 SERP TOP
15103,4,61.00,ROYAL PINK BASE: 2-0X1-0X0-6 PT/BRP
15232,4,32.00,"BLACK GRANITE TOP & BOTTOM: 0-4X0-4X0-1.25 PER TEMPLATE WITH HOLES DRILLED PER TEMPLATE, ALL SURFACES ARE POLISHED"
1012,3,65.00,"BLACK BASE: 2-0X0-10X0-8 PT SB BRP (¼"" TOLERANCE)"
1056,3,180.00,BLACK DIE: 1-8X0-8X2-6 POL 2 BRP SERP TOP
1092,3,269.50,BLACK DIE: 1-10X0-8X3-0 POL 5 SERP TOP
1171,3,262.00,BLACK DIE: 2-6X0-8X2-4 POL5 SERP TOP
1216,3,494.00,BLACK DIE: 3-6X0-8X3-0 POL 5 SERP TOP
1271,3,105.00,"BLACK BASE: 2-4X1-0X0-8 PT BRP 2"" POL MARGIN"
1275,3,110.00,BLACK BASE: 2-4X1-0X0-10 PT SB BRP
1281,3,97.50,BLACK BASE: 2-6X1-0X0-8 PT BRP
1285,3,114.00,BLACK BASE: 2-6X1-2X0-8 PT BRP
1293,3,117.00,BLACK BASE: 3-0X1-0X0-8 PT BRP
1334,3,204.00,BLACK BASE: 4-0X1-0X1-0 ALL POL
1453,3,269.00,STRAWBERRY RED DIE: 1-10X0-8X2-6 POL 5 SERP TOP
1504,3,88.00,INDIA RED BASE: 2-0X1-0X0-8 PT BRP
1557,3,184.00,BAHAMA BLUE DIE: 1-8X0-8X2-6 POL 5 SERP TOP
1682,3,133.00,"BLACK SLANT: 2-0X0-10X1-4 ALL POL SERP TOP (2"" TOP NOSE 3"" BOTTOM NOSE)"
1683,3,133.00,"BLACK SLANT: 2-0X0-10X1-4 POL 2 SERP TOP (POLISHED 2"" TOP NOSE & FACE/ SAWN BACK/ 3"" ROCK PITCH FRONT NOSE AND ENDS)"
1777,3,90.00,SOUTH  AFRICAN IMPALA BASE: 2-0X1-0X1-0 ALL POL
1899,3,38.00,BLUE MARKER: 2-0X1-0X0-4 PT BRP
2281,3,326.00,BLACK DIE: 3-0X0-8X2-6 POL 2 (FRONT & BACK POL)  BRP SERP TOP
2317,3,40.00,CATS EYE MARKER: 2-0X1-0X0-4 PT SS
2453,3,50.00,BLACK VASE: 0-10X0-10X0-10 ALL POL (4 SIDES TAPER) PER SKETCH
2956,3,240.00,BLACK DIE: 2-0X0-8X2-8 POL 5 SERP TOP
2973,3,90.00,BLACK BASE: 2-2X1-8X0-4 ALL POL
3024,3,42.00,"IMPERIAL PINK BASE: 2-0X0-10X0-6 PT SB BRP (¼"" TOLERANCE)"
3104,3,118.00,"BLACK BASE: 2-6X1-0X0-8 PT BRP 2"" POL MARGIN"
3182,3,54.00,SELECT GREY BASE: 2-0X1-0X0-8 PT BRP
3195,3,80.50,SELECT GREY BASE: 3-0X1-0X0-8 PT BRP
3208,3,91.00,BLACK BASE: 2-4X1-0X0-8 PT BRP
3274,3,96.00,"SELECT GREY BASE: 3-6X1-0X0-8 PT, BRP"
3474,3,126.00,"BLACK SLANT: 2-0X1-0X1-0 POL 2 SERP TOP (2"" POLISHED TOP & FACE / SAWN BACK/ ROCK PITCH ENDS AND 3"" FRONT NOSING)"
3591,3,170.00,DELUXE GREY DIE: 3-0X0-8X2-6 POL5 SERP TOP
3802,3,54.00,SELECT GREY BASE: 2-0X1-0X0-8 PT SB BRP
3859,3,108.00,SELECT GREY BASE: 4-0X1-0X0-8 PT BRP
3862,3,61.00,SELECT GREY BASE: 2-4X1-0X0-8 PT BRP
4164,3,416.00,BLACK DIE: 2-6X0-8X2-2 POL5 SERP CARVED ST. ANTHONY&CHILD  11X13
4182,3,54.00,INDIA RED MARKER: 2-0X1-2X0-4 PT SS
4553,3,48.00,INDIA RED VASE: 0-4X0-4X0-10 ALL POL TURNED STANDARD SHAPE
5063,3,50.00,"LIGHT GREY MARKER G603 FOR BRONZE PLAQUES: 2-4X1-8X0-4 PT SS w/ four 1"" dia. Thru drill holes as per template"
5917,3,109.00,INDIA RED BASE: 2-4X1-0X0-8 PT/ BRP
6199,3,119.00,"STRAWBERRY RED BASE: 2-0X1-0X0-8 PT/ 2"" POL MARGIN/ BRP"
7332,3,40.20,SELECT GREY MARKER: 3-0X1-0X0-4 PT/ BRP
7342,3,141.00,"BLACK SLANT: 2-0X0-10X1-6 POL1 (FACE POL) SERP TOP, BACKSAWN, BRP, 2"" RP TOP NOSE, 3"" RP BOTTOM NOSE"
7348,3,165.00,"BLACK SLANT: 2-0X1-0X1-6 POL1 (FACE POL) SERP TOP, BACKSAWN, BRP, 2"" RP TOP NOSE, 3"" RP BOTTOM NOSE"
7441,3,8.00,SELECT GREY DIE& BASE:DIE- 0-7X0-1X0-10 ALL POL SERP TOP- BASE- 0-9X0-2.5X0-1.5 PT /BRP/ MRG   (MINI-REPLICA MONUMENT)
7546,3,102.00,BLACK HICKEY: 2-0X1-0X0-8/0-6  PT/ BRP
7787,3,850.00,BLACK DIE: 1-10X0-8X2-6 STANDING ANGEL WITH ROSE (AS PER PICTURE)
8880,3,220.00,BLACK DIE: 1-10X0-8X2-8 POL 5 SERP TOP
9608,3,212.00,CHARCOAL GREY DIE: 1-10X0-8X2-4 POL5 SERP TOP
9627,3,347.00,CHARCOAL GREY DIE: 3-0X0-8X2-4 POL5 SERP TOP
9629,3,207.00,"CHARCOAL GREY DIE: 1-8X0-8X2-6 POL5 SERP TOP (MUST BE 1/4"" TOLERANCE/ OR EXACT SIZE)"
9809,3,88.00,"CHARCOAL GREY BASE: 2-0X1-0X0-8 PT, SAWN BACK, BRP, 2"" POL MARGIN"
10051,3,85.00,SELECT GREY DIE: 1-8X0-6X2-2 POL5 SERP TOP
10449,3,131.00,"SELECT GREY SLANT: 2-0X1-0X1-6 POL1 (FACE  POL), SAWN BACK, BRP, 2"" RP FLAT TOP, 3"" RP BOTTOM NOSE"
10598,3,178.00,CHARCOAL GREY DIE: 1-8X0-8X2-6 POL2 BRP SERP TOP
10798,3,115.00,DELUXE GREY DIE: 1-8X0-8X2-2 POL 5 SERP TOP
11097,3,246.00,STRAWBERRY RED DIE: 1-8X0-8X2-6 POL 5 SERP TOP
11175,3,93.00,CHARCOAL GREY BASE: 2-4X1-0X0-8 PT/ SB/BRP
11302,3,146.00,DELUXE GREY DIE: 2-0X0-8X2-6 POL2 (FRONT&BACK POL) BRP SERP TOP
11977,3,152.00,CHARCOAL GRAY BASE: 3-6X0-10X0-10 PT/ SB/BRP
12275,3,158.00,"DELUXE GREY DIE: 2-6X0-8X2-2 POL2 (FRONT&BACK POL), BRP, SERP TOP"
